page_url,location_name,street_address,city,state,zip,country_code,store_number,phone,location_type,latitude,longitude,locator_domain,hours_of_operation,raw_address
https://www.kiehls.hr/pronadite-prodavaonicu?lat=43.51&long=16.44,Kiehl's City Center One Split,Kiehl's City Center One Split,Split,Missing,21000,Missing,Missing,021 585 469,Missing,43.5138,16.503,kiehls.hr,Missing,"Kiehl's City Center One Split, Split"
https://www.kiehls.hr/pronadite-prodavaonicu?lat=45.3272&long=14.4422,Kiehl's Tower Center,Pećine 81A,Rijeka,Missing,51000,Missing,Missing,091 6311 093,Missing,45.317363,14.469339,kiehls.hr,Missing,"Pećine 81A, Rijeka"
https://www.kiehls.cz/prodejny?lat=50.0875&long=14.4214,Kiehl's Palladium,Náměstí Republiky 1,Praha,Missing,110 00,CZ,Missing,+420 222 513 042,Missing,50.088928,14.429055,kiehls.cz,Missing,"Náměstí Republiky 1, Praha"
https://www.kiehls.cz/prodejny?lat=50.0875&long=14.4214,Kiehl's OC Nový Smíchov,Plzeňská 8,Praha,Missing,150 00,CZ,Missing,+420 255 719 819,Missing,50.073165,14.402254,kiehls.cz,Missing,"Plzeňská 8, Praha"
https://www.kiehls.cz/prodejny?lat=50.0875&long=14.4214,Kiehl's Chodov,Roztylská 2321/19,Praha,Česká republika,148 00,CZ,Missing,+420 272 075 486,Missing,50.031987,14.491246,kiehls.cz,Missing,"Roztylská 2321/19, Praha"
https://www.kiehls.cz/prodejny?lat=49.1925&long=16.6085,Douglas Galerie Vaňkovka,Ve Vaňkovce 462/1,Brno,Česká republika,602 00,CZ,Missing,+420296333770,Missing,49.187801,16.614762,kiehls.cz,Missing,"Ve Vaňkovce 462/1, Brno"
https://www.kiehls.cz/prodejny?lat=49.8356&long=18.2923,Douglas Avion Shopping Park,Rudná 114,Ostrava,Česká republika,700 30,CZ,Missing,Missing,Missing,49.84079,18.29088,kiehls.cz,Missing,"Rudná 114, Ostrava"
https://www.kiehls.cz/prodejny?lat=49.7475&long=13.3776,"Douglas, OC Plzeň Plaza",Radčická 2,Plzeň,Česká republika,301 00,CZ,Missing,Missing,Missing,49.749737,13.369452,kiehls.cz,Missing,"Radčická 2, Plzeň"
https://www.kiehls.bg/%D0%BF%D0%BE%D1%82%D1%8A%D1%80%D1%81%D0%B5%D1%82%D0%B5-%D0%BC%D0%B0%D0%B3%D0%B0%D0%B7%D0%B8%D0%BD?lat=42.6977&long=23.3219,Kiehl's Сердика център,Kiehl's Сердика център,Sofia,Missing,1505,Missing,Missing,Missing,Missing,42.691781,23.353176,kiehls.bg,Missing,"Kiehl's Сердика център, Sofia"
https://www.kiehls.bg/%D0%BF%D0%BE%D1%82%D1%8A%D1%80%D1%81%D0%B5%D1%82%D0%B5-%D0%BC%D0%B0%D0%B3%D0%B0%D0%B7%D0%B8%D0%BD?lat=42.6977&long=23.3219,Kiehl's Парадайс център,Kiehl's Парадайс център,Missing,Missing,Missing,BG,Missing,Missing,Missing,42.657,23.314,kiehls.bg,Missing,"Kiehl's Парадайс център, "
